UNIT,TIMESTAMP,OPEN,HIGH,LOW,CLOSE
DAY,1755475200,117478.934514884,117620.340772771,114750.292912901,116295.377222639
DAY,1755561600,116295.377222639,116789.031827063,112777.792514787,112900.73860107
DAY,1755648000,112900.73860107,114636.821370293,112437.987224191,114302.938458334
DAY,1755734400,114302.938458334,114824.29946186,112036.187150591,112518.639569051
DAY,1755820800,112518.639569051,117415.081114463,111720.246342155,116903.486815059
DAY,1755907200,116903.486815059,116991.733727835,114544.803605328,115401.909286159
DAY,1755993600,115401.909286159,115629.446722311,111724.914495363,113497.119029309
DAY,1756080000,113497.119029309,113659.990947993,109379.185121917,110187.030847015
DAY,1756166400,110187.030847015,112407.955967635,108805.032095518,111809.215070013
DAY,1756252800,111809.215070013,112637.264669103,110402.787568439,111288.993652357
DAY,1756339200,111288.993652357,113500.211341786,110919.218678199,112592.510028377
DAY,1756425600,112592.510028377,112642.091263426,107569.987099482,108424.015930646
DAY,1756512000,108424.015930646,108959.253597093,107455.690610655,108852.097480519
DAY,1756598400,108852.097480519,109518.964197622,108144.830517055,108303.473913268
DAY,1756684800,108303.473913268,109925.263696854,107300.007447725,109255.586298373
DAY,1756771200,109255.586298373,111753.803880169,108437.875501727,111241.631217533
DAY,1756857600,111241.631217533,112570.519067482,110564.052639629,111737.97059298
DAY,1756944000,111737.97059298,112211.204553658,109363.622394247,110743.298264164
DAY,1757030400,110743.298264164,113360.932015697,110269.11836012,110671.777093401
DAY,1757116800,110671.777093401,111317.726689738,110067.879658621,110224.567575368
DAY,1757203200,110224.567575368,111617.602107259,110216.271047467,111154.666234756
DAY,1757289600,111154.666234756,112902.011584461,110653.848629723,112070.198855846
DAY,1757376000,112070.198855846,113265.414852957,110779.972239133,111541.127744723
DAY,1757462400,111541.127744723,114302.473523944,110965.576074921,113973.151730465
DAY,1757548800,113973.151730465,115508.335529354,113476.786788889,115507.416571815
DAY,1757635200,115507.416571815,116747.316167955,114780.416482191,116079.295283256
DAY,1757721600,116079.295283256,116331.332101637,115233.831774992,115955.126990882
DAY,1757808000,115955.126990882,116203.092820398,115186.693983221,115331.440901105
DAY,1757894400,115331.440901105,116757.232444733,114459.457698682,115399.127560279
DAY,1757980800,115399.127560279,116990.862300023,114836.129077905,116826.684150381
DAY,1758067200,116826.684150381,117316.908606003,114850.754108143,116474.114847182
DAY,1758153600,116474.114847182,117933.477679586,116159.42394243,117108.935005828
DAY,1758240000,117108.935005828,117482.426618481,115174.519455148,115694.602656432
DAY,1758326400,115694.602656432,116176.892981291,115479.47194954,115734.809307906
DAY,1758412800,115734.809307906,115877.500502827,115257.164400001,115287.441213986
DAY,1758499200,115287.441213986,115428.104773331,112073.714269913,112782.229169582
DAY,1758585600,112782.229169582,113362.073382344,111552.375744474,112052.858934256
DAY,1758672000,112052.858934256,113994.819767249,111259.798870294,113353.447113748
DAY,1758758400,113353.447113748,113550.434981077,108747.064706619,109074.230529918
DAY,1758844800,109074.230529918,110385.47009827,108738.17377786,109733.466164108
DAY,1758931200,109733.466164108,109813.677119881,109156.815099721,109692.189210896
DAY,1759017600,109692.189210896,112430.479743915,109288.267340878,112257.237275314
DAY,1759104000,112257.237275314,114475.751333428,111645.461699156,114393.691187878
DAY,1759190400,114393.691187878,114844.355081161,112724.524939033,114063.275796585
DAY,1759276800,114063.275796585,118689.431688723,113987.999087047,118646.283465771
DAY,1759363200,118646.283465771,121074.170772622,118373.343368237,120593.742143673
DAY,1759449600,120593.742143673,123940.093502704,119345.102023464,122286.946673376
DAY,1759536000,122286.946673376,122876.383500634,121589.521066342,122418.030417054
DAY,1759622400,122418.030417054,125598.614060965,122173.17177509,123537.465178982
DAY,1759708800,123537.465178982,126223.317922832,123207.568770634,124714.848516762
DAY,1759795200,124714.848516762,125179.240671908,120702.286836833,121429.531001833
DAY,1759881600,121429.531001833,124187.872204505,121154.387328433,123355.093531611
DAY,1759968000,123355.093531611,123793.508529929,119833.062027411,121745.512823117
DAY,1760054400,121745.512823117,122558.179340366,106567.490292892,113039.345857058
DAY,1760140800,113039.345857058,113482.437210158,109808.129447161,110810.242745388
DAY,1760227200,110810.242745388,115819.876608837,109748.832002581,115088.258570169
DAY,1760313600,115088.258570169,116042.885785591,113865.513836142,115321.958876336
DAY,1760400000,115321.958876336,115562.405109828,110032.568062898,113115.288112501
DAY,1760486400,113115.288112501,113678.900376554,110260.450089694,110815.266921698
DAY,1760572800,110815.266921698,112021.62098069,107544.25334322,108229.050757824
DAY,1760659200,108229.050757824,109275.466248279,103602.861901474,106498.603354067
DAY,1760745600,106498.603354067,107541.981788994,106399.495834688,107239.978114036
DAY,1760832000,107239.978114036,109539.332436053,106180.991610711,108747.04197085
DAY,1760918400,108747.04197085,111714.301741617,107541.304890796,110584.822523732
DAY,1761004800,110584.822523732,114044.690577137,107528.749524402,108368.509722285
DAY,1761091200,108368.509722285,109129.747652561,106763.036174079,107600.37133495
DAY,1761177600,107600.37133495,111337.819992173,107534.909524991,110138.004731871
DAY,1761264000,110138.004731871,111884.368887318,109818.128923515,111072.135630999
DAY,1761350400,111072.135630999,111970.012039171,110763.825611313,111656.14021356
DAY,1761436800,111656.14021356,115110.460037564,111269.588732658,114583.603528519
DAY,1761523200,114583.603528519,116360.269076491,113913.335022221,114143.700236365
DAY,1761609600,114143.700236365,116094.042473895,112365.29667472,112964.048665163
DAY,1761696000,112964.048665163,113702.901950938,109571.846317101,110108.026746427
DAY,1761782400,110108.026746427,111654.571811768,106383.915867348,108342.85615097
DAY,1761868800,108342.85615097,111123.080372471,108321.3899889,109619.819306068
DAY,1761955200,109619.819306068,110598.718000052,109415.255587054,110162.286332992
DAY,1762041600,110162.286332992,111235.011441722,109557.095389686,110576.714320106
DAY,1762128000,110576.714320106,110768.746956073,105476.037084784,106655.710268712
DAY,1762214400,106655.710268712,107354.956570426,99058.6580143093,101583.635565302
DAY,1762300800,101583.635565302,104605.945074825,99043.9683392924,103971.149190052
DAY,1762387200,103971.149190052,104217.113350505,100365.110226266,101346.26469722
DAY,1762473600,101346.26469722,104058.431535523,99302.1788093872,103326.208424691
DAY,1762560000,103326.208424691,103379.58544648,101475.969320999,102298.730646566
DAY,1762646400,102298.730646566,105416.130305327,101459.34158381,104725.540876362
DAY,1762732800,104725.540876362,106626.4742893,104293.80079756,105997.950274382
DAY,1762819200,105997.950274382,107467.294470123,102531.528205382,103087.646722457
DAY,1762905600,103087.646722457,105341.619430159,100887.113807248,101694.525387851
DAY,1762992000,101694.525387851,104062.651936951,98050.2548654296,99702.7889356091
DAY,1763078400,99702.7889356091,99871.630745917,94105.0142971997,94667.6980316109
DAY,1763164800,94667.6980316109,96884.8770932751,94660.2356251459,95637.0452551772
DAY,1763251200,95637.0452551772,96670.2787538155,93232.1318473594,94394.0011993443
DAY,1763337600,94394.0011993443,96076.0769160194,91350.6677540821,92225.443968822
DAY,1763424000,92225.443968822,93832.8288298203,89401.1262764224,92993.1480092538
DAY,1763510400,92993.1480092538,93003.558839481,88603.3596455788,91527.1735071698
DAY,1763596800,91527.1735071698,93106.240126199,86074.2382173147,86587.3725510952
DAY,1763683200,86587.3725510952,87421.5577275029,80638.7270118116,85143.6986808933
DAY,1763769600,85143.6986808933,85599.3513910288,83517.1828078935,84747.7976933744
DAY,1763856000,84747.7976933744,88179.5738773906,84691.6963440779,86923.7809890631
DAY,1763942400,86923.7809890631,89233.3063691849,85343.7029368107,88313.8112235453
DAY,1764028800,88313.8112235453,88508.8774126942,87375.6368622988,87424.9390390657
